"white = object name
yellow = flags
V* DG Tau,DG Tau,,,,S,66.76954708,26.10445583,Taurus,II,1.5,,2,121.1768698,6.156,0.357,-19.297,0.241,15.4,0.6,1.3,,,,Salyk 2013,12.28,,8.691,0.018,7.72,0.03,6.992,0.02,,,Salyk 2013,"Keck II/NIRSPEC, VLT/CRIRES",2001,,140.0,,K6,,"4,200.00",,0.8500,,0.28,,1,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,-19.14,,,,,,,,,,,,-11.52,,,,-7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,,3.24E-08,,Salyk 2013,,
V* DS Tau,DS Tau,,,,S,71.95248083,29.41977472,Taurus,II,1.5,,2,159.0710252,5.043,0.076,-24.334,0.04,13,,0.34,,,,Salyk 2013,12.37,0.13,9.465,0.018,8.6,0.03,8.036,0.029,,,Salyk 2013,Keck II/NIRSPEC,2007,,140.0,,K5,,"4,350.00",,0.8700,,0.57,,1.36,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,-4.96,,,,,,,,,,,,-1.23,,,,-6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.01,,6.03E-09,,Salyk 2013,,
WLY 1-43,GY 224,,,,S,246.7965829,-24.67963,p Oph,I,1,,,,-5.6,0.4,-22.1,0.4,-5.8,1.5,34.2,,,,Salyk 2013,,,17.81,0.07,12.881,0.027,10.196,0.023,,,Salyk 2013,Keck II/NIRSPEC,2006,,120.0,,M4,,"4,635.00",,0.9100,,3.7,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,-17.9,,,,,,,,,,,,,,,,-4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.86,,1.82E-08,,Salyk 2013,,
V* RU Lup,RU Lup,,,,S,239.1762954,-37.82096472,Lupus,II,3,,2,159.5736193,-11.546,0.139,-23.234,0.09,3.3,1.8,0.1,,,,Salyk 2013,,,8.732,0.026,7.824,0.042,7.138,0.024,,,Salyk 2013,VLT/CRIRES,2007,,140.0,,K7,,"4,060.00",,1.0000,,0.42,,1.3,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,,1.78E-08,,Salyk 2013,,
WL 16,WL 16,,,,S,246.75973,-24.62423083,p Oph,II,1,,,,,,,,,,,,,,Salyk 2013,,,14.164,0.029,10.478,0.023,8.064,0.016,,,Salyk 2013,Keck II/NIRSPEC,2002,,120.0,,K5,,"4,467.00",,1.0200,,4.57,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,,,,,,,,,,,,,,,,-17.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,1.70E-07,,Salyk 2013,,
V* CW Tau,CW Tau,,,,S,63.57085042,28.1827125,Taurus,II,1.5,,2,132.4433143,8.278,0.101,-24.159,0.067,16.39,0.43,2.21,,,,Salyk 2013,12.86,,9.557,0.022,8.243,0.027,7.127,0.023,,,Salyk 2013,VLT/CRIRES,2008,,140.0,,K3,,"4,730.00",,1.0600,,0.76,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,-7.24,,,,,,,,,,,,-1.94,,,,-4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,,1.58E-08,,Salyk 2013,,
Haro 1-16,DoAr 44,,,,S,247.8894325,-24.46032167,p Oph,IIt,1,,2,145.9108485,-6.101,0.128,-24.212,0.098,,,2.2,,,,Salyk 2013,,,9.233,0.023,8.246,0.057,7.61,0.024,,,Salyk 2013,"Keck II/NIRSPEC, VLT/CRIRES",2007,,120.0,,K3,,"4,730.00",,1.3000,,1.4,,1.75,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.16,,3.72E-09,,Salyk 2013,,
EM* AS 209,AS 209,,,,S,252.3137646,-14.36906722,Upper Scorpius,II,1,,2,120.9848164,-7.417,0.117,-23.733,0.065,-10,0.4,1.15,,,,Salyk 2013,,,8.302,0.039,7.454,0.024,6.961,0.026,,,Salyk 2013,VLT/CRIRES,2008,,160.0,,K5,,"4,395.00",,1.4000,,2.5,,2.4,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,,3.02E-08,,Salyk 2013,,
CPD-36  6759,HD 135344 B,COM,21,,S,228.9518579,-37.15445167,Upper Centaurus Lupus,IIt,8,4,2,135.7681081,-19.114,0.11,-23.14,0.081,,,0.3,,,,Salyk 2013,,,7.279,0.026,6.587,0.031,5.843,0.02,,,Salyk 2013,"Keck II/NIRSPEC, VLT/CRIRES",2005,,84.0,,F3,,"6,590.00",,1.5000,,8,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,-1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.11,,4.47E-09,,Salyk 2013,,
V* S CrA,S CrA A,COM,1.4,,S,285.2858208,-36.95552639,Corona Austrailus,II,2,1,,,-2.6,1,-9.8,1.5,-33,5,1,,,,Salyk 2013,11.41,0.1,8.194,0.021,7.051,0.024,6.56,0.06,,,Salyk 2013,VLT/CRIRES,2007,,130.0,,K3,,"4,800.00",,1.5000,,2.29,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,,4.37E-08,,Salyk 2013,binary system,
V* V866 Sco A,AS 205 N,COM,1.305,,S,242.8806704,-18.64049306,Upper Scorpius,II,1,,2,127.9263144,-7.45,0.2,-26.891,0.141,,,2.9,,,,Salyk 2013,,,,,,,,,,,Salyk 2013,"Keck II/NIRSPEC, VLT/CRIRES",2002,,160.0,,K5,,"4,450.00",,1.5000,,7.1,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,,7.94E-08,,Salyk 2013,,
V* V1003 Oph,RNO 90,,,,S,248.5382058,-15.80466,p Oph,II,1,,2,116.985061,-4.615,0.123,-27.133,0.072,,,,,,,Salyk 2013,,,8.995,0.03,7.577,0.04,6.565,0.016,,,Salyk 2013,Keck II/NIRSPEC,2002,,120.0,,G5,,"5,662.00",,1.6000,,5.7,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,,3.98E-08,,Salyk 2013,,
V* SU Aur,SU Aur,,,,S,73.99744208,30.56708306,Auriga,II,,,2,158.3807156,4.647,0.091,-24.319,0.054,14.26,0.05,0.9,,,,Salyk 2013,9.17,,7.199,0.02,6.558,0.02,5.99,0.023,,,Salyk 2013,Keck II/NIRSPEC,2002,,140.0,,G1,,"5,945.00",,1.7000,,7.8,,2.6,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,,,,,,,,,,,,-0.67,,,,-6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,4.90E-08,,Salyk 2013,,
HD 169142,HD 169142,,,,S,276.1240829,-29.78036889,FIELD,II,6,3,2,113.9640102,-2.32,0.112,-37.796,0.093,,,0.3,,,,Salyk 2013,,,7.31,0.021,6.911,0.038,6.41,0.024,,,Salyk 2013,Keck II/NIRSPEC,2002,,145.0,,A5,,"8,260.00",,1.8000,,15,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7,,,,-4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.66,,9.12E-09,,Salyk 2013,,
Haro 1-16,DoAr 44,,,,S,247.8894325,-24.46032167,p Oph,II,1,,2,145.9108485,-6.101,0.128,-24.212,0.098,,,6,,,,Salyk 2013,,,9.233,0.023,8.246,0.057,7.61,0.024,,,Salyk 2013,Keck II/NIRSPEC,2002,,122.0,,K1,,"5,080.00",,1.8000,,11.7,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,,1.66E-08,,Salyk 2013,,
HD 31648,MWC 480,,,,S,74.6927725,29.84360833,FIELD,II,5.65,0.02,2,161.7730324,4.793,0.133,-25.348,0.073,,,0.33,,,,Salyk 2013,7.76,,6.865,0.021,6.26,0.03,5.527,0.021,,,Salyk 2013,Keck II/NIRSPEC,2001,,137.0,,A5,,"8,200.00",,1.9700,,21.9,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,,,,-8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,6.17E-08,,Salyk 2013,,
HD 144432,HD 144432 A,,,,S,241.7414708,-27.71937722,Sco OB2-2,II,6,3,2,155.3494586,-12.594,0.098,-24.4,0.051,2,,0.2,,,,Salyk 2013,7.82,,7.095,0.032,6.538,0.067,5.888,0.018,,,Salyk 2013,"Keck II/NIRSPEC, VLT/CRIRES",2002,,145.0,,A9,,"7,410.00",,2.0000,,14.8,,2.3,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1,,,,-5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,,2.04E-08,,Salyk 2013,,
V* RY Tau,RY Tau,,,,S,65.48922167,28.44320361,Taurus,II,1.5,,2,443.0660168,9.1,0.14,-25.859,0.091,24.3,1.9,2.2,,,,Salyk 2013,9.67,,7.155,0.019,6.13,0.06,5.395,0.023,,,Salyk 2013,Keck II/NIRSPEC,2002,,140.0,,G1,,"5,945.00",,2.0000,,9.6,,2.9,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,-2.24,,,,,,,,,,,,-0.51,,,,-4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,6.76E-08,,Salyk 2013,,
HD 36112,MWC 758,,,,S,82.6147025,25.33252278,FIELD,II,8,0.04,2,160.2435702,3.586,0.112,-26.751,0.083,,,0.66,,,,Salyk 2013,,,7.221,0.026,6.56,0.024,5.804,0.023,,,Salyk 2013,Keck II/NIRSPEC,2002,,204.0,,A3,,"8,130.00",,2.0000,,30,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4,,,,-3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,4.47E-08,,Salyk 2013,,
HD 142666,HD 142666,,,,S,239.1667592,-22.02777889,Upper Sco OB-2,II,7.76,1.79,2,148.2777539,-13.046,0.106,-22.16,0.059,,,0.8,,,,Salyk 2013,8.31,,7.351,0.026,6.739,0.027,6.077,0.017,,,Salyk 2013,Keck II/NIRSPEC,2002,,145.0,,A8,,"7,590.00",,2.0000,,17,,2.4,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28,,2.51E-08,,Salyk 2013,,
IRAS 16245-2423,IRS 48,,,,S,246.9049629,-24.50973083,p Oph,IIt,1,,2,134.4537815,-9.19,0.234,-23.995,0.175,,,11.5,,,,Salyk 2013,16.66,,10.566,0.023,8.815,0.067,7.582,0.026,,,Salyk 2013,VLT/CRIRES,2008,,120.0,,A0,,"9,000.00",,2.0000,,14.3,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.89,,3.98E-09,,Salyk 2013,,
V* CV Cha,CV Cha,,,,S,168.1154383,-76.73952722,Chamaeleon I,II,2,,2,193.2404491,-21.575,0.047,-1.048,0.045,14.52,0.08,1.67,,,,Salyk 2013,10.51,,8.285,0.023,7.46,0.04,6.845,0.026,,,Salyk 2013,VLT/CRIRES,2009,,215.0,,G8,,"5,451.00",,2.1000,,8,,3.2,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,1.55E-07,,Salyk 2013,,
V* BF Ori,BF Ori,,,,S,84.30525958,-6.583490278,σ Ori,II,3,,2,389.0747802,0.88,0.1,0.463,0.099,29.03,3.583,2.4,,,,Salyk 2013,10.06,0.03,9.113,0.024,8.565,0.04,7.897,0.029,,,Salyk 2013,Keck II/NIRSPEC,2009,,400.0,,A5-F6,,,,2.1000,,27,,2.7,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,,,,-4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,4.57E-08,,Salyk 2013,,
V* T Tau,T Tau N,,,,S,65.49763458,19.53512194,Taurus,II,1.5,,2,144.3209698,11.356,0.122,-14.837,0.1,23.9,1.5,1.46,,,,Salyk 2013,9.8,0.08,7.24,0.023,6.237,0.017,5.325,0.017,,,Salyk 2013,Keck II/NIRSPEC,2002,,140.0,,K0,,"5,248.00",,2.1100,,7.3,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,6.92E-08,,Salyk 2013,,
HD 141569,HD 141569 A,,,,S,237.4906183,-3.921206667,FIELD,II,5.89,1.87,2,110.6268115,-17.63,0.079,-18.953,0.069,-6.4,2.4,0.1,,,,Salyk 2013,7,,6.872,0.027,6.861,0.04,6.821,0.026,,,Salyk 2013,Keck II/NIRSPEC,2002,,99.0,,B9.5,,"9,550.00",,2.2000,,22.9,,1.8,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,,,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.64,,7.41E-09,,Salyk 2013,,
HD 150193,HD 150193,,,,S,250.0746842,-23.89588667,p Oph,II,4.57,1.02,2,150.7840772,-4.912,0.127,-19.089,0.073,-1,1.9,1.5,,,,Salyk 2013,8.41,,6.947,0.02,6.214,0.02,5.476,0.017,,,Salyk 2013,Keck II/NIRSPEC,2002,,203.0,,A1,,"8,970.00",,2.2000,,36.1,,2.5,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5,,,,-7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,1.07E-07,,Salyk 2013,,
HD 163296,HD 163296,,,,S,269.0887008,-21.95607556,FIELD,II,6.03,0.28,2,101.4960518,-7.607,0.152,-39.42,0.119,-4,3.3,0.3,,,,Salyk 2013,6.86,0.05,6.195,0.021,5.531,0.036,4.779,0.018,,,Salyk 2013,Keck II/NIRSPEC,2001,,122.0,,A1,,"9,450.00",,2.3000,,36,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.9,,,,-7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,7.41E-08,,Salyk 2013,,
HD  35187,HD 35187,,,,S,81.00488583,24.96043861,118 Tau,II,5.99,0.94,2,114.1552511,9.38,2.12,-27.01,1.06,-17,,0.65,,,,Salyk 2013,8.72,0.21,6.953,0.021,6.48,0.018,5.911,0.017,,,Salyk 2013,Keck II/NIRSPEC,2009,,150.0,,A2,,"9,120.00",,2.3000,,27,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,,-2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,,7.08E-09,,Salyk 2013,,
V* UX Ori,UX Ori,,,,S,76.12495042,-3.787302222,FIELD,II,8.22,0.27,2,324.9707526,0.785,0.087,-3.924,0.064,100.306,25.736,0.3,,,,Salyk 2013,9.62,,8.707,0.021,8.044,0.034,7.214,0.02,,,Salyk 2013,Keck II/NIRSPEC,2005,,450.0,,A3,,"8,670.00",,2.3000,,39,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,,,,-4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,9.33E-08,,Salyk 2013,,
V* AB Aur,AB Aur,,,,S,73.94102458,30.5511925,Taurus,II,1.5,,2,162.8664495,3.926,0.097,-24.112,0.068,8.9,0.9,0.5,,,,Salyk 2013,6.96,0.05,5.936,0.018,5.062,0.02,4.23,0.016,,,Salyk 2013,Keck II/NIRSPEC,2001,,140.0,,A0,,"9,840.00",,2.4000,,48,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5,,,,-6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.26E-07,,Salyk 2013,,
HD  37357,HD 37357,,,,S,84.44616458,-6.708389722,FIELD,II,,,2,787.8978884,0.589,0.603,0.203,0.548,,,0.35,,,,Salyk 2013,,,8.405,0.021,7.947,0.038,7.368,0.021,,,Salyk 2013,Keck II/NIRSPEC,2009,,240.0,,A2,,"10,495.00",,2.4000,,29.5,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32,,1.32E-08,,Salyk 2013,,
CD-33 10685,Sz 68,,,,S,236.3036125,-34.29184611,Upper Centaurus-Lupus,II,8,4,2,154.1948715,-13.625,0.128,-21.605,0.081,-4.3,1.8,4,,,,Salyk 2013,9.6,0.02,7.573,0.021,6.866,0.029,6.48,0.02,,,Salyk 2013,VLT/CRIRES,2007,,159.0,,K2,,"4,900.00",,2.5000,,14.49,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,,1.66E-08,,Salyk 2013,,
EM* LkHA  330,LkHa 330,,,,S,56.45116833,32.40329194,FIELD,IIt,,,2,310.9452736,4.579,0.123,-5.664,0.092,16.34,0.246,1.8,,,,Salyk 2013,,,8.83,0.03,7.92,0.03,7.03,0.021,,,Salyk 2013,"Keck II/NIRSPEC, VLT/CRIRES",2002,,250.0,,G3,,"5,800.00",,2.5000,,16,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,2.19E-08,,Salyk 2013,,
V* WW Vul,WW Vul,,,,S,291.4947892,21.20870361,Vulpecula OB1,II,3.3,0.06,2,504.0322581,0.843,0.047,-6.47,0.055,,,1,,,,Salyk 2013,10.38,,9.092,0.03,8.18,0.04,7.278,0.017,,,Salyk 2013,Keck II/NIRSPEC,2002,,696.0,,A3,,"8,970.00",,2.5000,,50,,2.9,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.4,,,,-3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,1.38E-07,,Salyk 2013,,
HD 244604,HD 244604,,,,S,82.98854667,11.29482611,FIELD,II,4.89,0.52,2,421.2654815,0.728,0.089,-1.662,0.071,44.2801,,1.69,,,,Salyk 2013,,,8.613,0.029,7.956,0.033,7.123,0.023,,,Salyk 2013,Keck II/NIRSPEC,2009,,336.0,,A0,,"9,549.00",,3.0500,,97.7,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,,,,-5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,6.46E-08,,Salyk 2013,,
V* VV Ser,VV Ser,,,,S,277.1994246,0.1444233333,FIELD,II,0.9,0.37,2,420.0268817,3.474,0.072,-8.608,0.07,,,3.1,,,,Salyk 2013,11.01,,8.673,0.02,7.435,0.057,6.321,0.02,,,Salyk 2013,Keck II/NIRSPEC,2001,,260.0,,B9,,"10,600.00",,3.1000,,85,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13,,,,-5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,7.41E-08,,Salyk 2013,,
HD  38120,HD 38120,,,,S,85.79955458,-4.997189167,NGC 1977,II,2.62,0.1,2,405.9265273,0.391,0.102,-2.048,0.104,,,0.67,,,,Salyk 2013,,,8.432,0.027,7.847,0.086,7.156,0.018,,,Salyk 2013,Keck II/NIRSPEC,2009,,460.0,,B9,,"10,471.00",,3.1200,,123,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6,,,,-9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,9.12E-08,,Salyk 2013,,
HD 142527,HD 142527,,,,S,239.1745367,-42.32312361,Sco OB2-2,II,6,3,2,157.3291798,-11.305,0.093,-26.336,0.065,-0.23,1.18,0.7,,,,Salyk 2013,,,6.503,0.029,5.715,0.031,4.98,0.02,,,Salyk 2013,VLT/CRIRES,2008,,200.0,,F6,,"6,270.00",,3.5000,,69,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,,,,-2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,9.55E-08,,Salyk 2013,,
EM* AS  442,V1977 Cyg,,,,S,311.9061075,43.79027028,FIELD,II,,,2,863.4832916,-1.673,0.043,-1.728,0.05,,,1.74,,,,Salyk 2013,10.18,,8.653,0.029,7.701,0.038,6.623,0.017,,,Salyk 2013,Keck II/NIRSPEC,2005,,826.0,,B8,,"11,000.00",,3.5000,,207,,4,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,1.38E-07,,Salyk 2013,,
HD  37806,HD 37806,,,,S,85.25955417,-2.716869167,FIELD,II,1.65,0.02,2,428.2105083,4.372,0.09,-1.322,0.092,,,0,,,,Salyk 2013,,,7.115,0.02,6.25,0.03,5.4,0.029,,,Salyk 2013,Keck II/NIRSPEC,2009,,470.0,,B9,,"8,912.00",,3.5800,,138,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,,,,-5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,4.90E-07,,Salyk 2013,,
HD 179218,HD 179218,,,,S,287.7968917,15.78767556,FIELD,I,2.04,0.47,2,265.9928182,5.184,0.068,-20.823,0.065,-3,4.4,1.8,,,,Salyk 2013,7.25,,6.994,0.02,6.645,0.026,5.995,0.018,,,Salyk 2013,Keck II/NIRSPEC,2006,,240.0,,B9,,"10,600.00",,4.0000,,500,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.1,,,,-7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,1.74E-07,,Salyk 2013,,
IRAS 08211-4158,LLN 8,,,,S,125.717,-42.13158333,,I,,,,,,,,,,,20,,,,Salyk 2013,,,,,,,,,,,Salyk 2013,VLT/CRIRES,2007,,400.0,,,,,,5.0000,,642,,,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,7.24E-08,,Salyk 2013,,
HD 190073,HD 190073,,,,S,300.7604575,5.737960556,FIELD,II,0.28,0.14,2,891.1067546,0.452,0.103,-9.248,0.056,-0.6,0.7,0.5,,,,Salyk 2013,,,7.194,0.019,6.647,0.017,5.855,0.027,,,Salyk 2013,Keck II/NIRSPEC,2002,,767.0,,A2,,"9,500.00",,5.1000,,471,,8,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,1.51E-06,,Salyk 2013,,
V* RR Tau,RR Tau,,,,S,84.87713083,26.37415583,Taurus,II,1.7,0.64,2,778.9982083,-0.179,4.944,-5.582,4.533,,,1.1,,,,Salyk 2013,10.58,,9.685,0.02,8.416,0.016,7.389,0.023,,,Salyk 2013,Keck II/NIRSPEC,2005,,2103.0,,A0,,"10,000.00",,5.8000,,781,,9.3,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,,,,-5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,2.09E-06,,Salyk 2013,,
HD  58647,HD 58647,,,,S,111.483745,-14.17876333,FIELD,II,,,2,318.5220577,-4.963,0.062,-3.274,0.054,,,1,,,,Salyk 2013,6.73,,6.438,0.021,6.11,0.06,5.436,0.023,,,Salyk 2013,Keck II/NIRSPEC,2008,,543.0,,B9,,"10,500.00",,6.0000,,911,,9.1,,Line Strength,PfB Line Luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,4.37E-07,,Salyk 2013,,
V* CT Cha B,CT Cha b,COM,2.67,,BD,166.0351667,-76.455,Chamaeleon I,,2,2,,,,,,,,,3.4,1.1,,,Wu 2015,,,,,,,,,,,Wu 2015,Magellan/MagAO,2013,,160.0,,M9,1,"2,500.00",100,0.0180,0.00477297,0.0019498446,0.0008985458985,0.24663044,,Photometric Ha Excess,Photometric Excess Ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00E-10,,Close 2014,,
GQ Lup b,GQ Lup b,COM,0.721,,BD,237.300375,-35.651083,Lupus,U,3,2,,155,,,,,,,1.6,,,,Herczeg 2014,,,,,,,,,,,Wu 2017,Magellan/MagAO,2015,4,150.0,,L1,1,"2,400.00",100,0.0239,0.01431,0.003388441561,0.00218609133,0.341666,0.110539,Photometric Ha Excess,Photometric Excess Ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2557,-5.3819,5.50E-12,4.50E-12,"Rigliaco 2012, Close 2014",,NOT IN SIMBAD
